AI GOVERNANCE ACADEMY - STUDENT CREDENTIALS
============================================================
Common Password: AIGA@2024!Secure#Learning
============================================================
Format: Email | Full Name | Location
============================================================

student001@aiga.ac | Sidney Mitchell | Existing
student002@aiga.ac | Muhammad Reed | Existing
student003@aiga.ac | Joseph Cross | Existing
student004@aiga.ac | Clive Haynes | Existing
student005@aiga.ac | Emily Evans | Existing
student006@aiga.ac | Mabel Dixon | Existing
student007@aiga.ac | Elsie Cox | Existing
student008@aiga.ac | Queenie Barclay | Existing
student009@aiga.ac | Oscar Kennedy | Existing
student010@aiga.ac | Simon Wallace | Existing
student011@aiga.ac | Leonard Kelly | Existing
student012@aiga.ac | Eleanor Curtis | Existing
student013@aiga.ac | Martin Hay | Existing
student014@aiga.ac | Isabella Forbes | Existing
student015@aiga.ac | Roger Johnson | Existing
student016@aiga.ac | Elijah Field | Existing
student017@aiga.ac | Kathleen White | Existing
student018@aiga.ac | Sienna Brown | Existing
student019@aiga.ac | David Evans | Existing
student020@aiga.ac | Yvonne Bond | Existing
student021@aiga.ac | Iris Fletcher | Existing
student022@aiga.ac | Ruby Patel | Existing
student023@aiga.ac | Ruby Foster | Existing
student024@aiga.ac | Benjamin Carter | Existing
student025@aiga.ac | Penelope Simpson | Existing
student026@aiga.ac | Olive Armstrong | Existing
student027@aiga.ac | Pamela Duncan | Existing
student028@aiga.ac | Neville Hall | Existing
student029@aiga.ac | Fiona Wellington | Existing
student030@aiga.ac | Wendy Forbes | Existing
student031@aiga.ac | Benjamin Cook | Existing
student032@aiga.ac | Brenda Reid | Existing
student033@aiga.ac | Tabitha Hardy | Existing
student034@aiga.ac | Lorna Eliot | Existing
student035@aiga.ac | Linda Clark | Existing
student036@aiga.ac | Hamish Hamilton | Existing
student037@aiga.ac | Noah James | Existing
student038@aiga.ac | Brenda Graves | Existing
student039@aiga.ac | Gordon Carter | Existing
student040@aiga.ac | Cameron Dunn | Existing
student041@aiga.ac | Sandra Fletcher | Existing
student042@aiga.ac | Fiona Hale | Existing
student043@aiga.ac | Poppy Franklin | Existing
student044@aiga.ac | Arthur Hall | Existing
student045@aiga.ac | Mia Gray | Existing
student046@aiga.ac | Quentin Eaton | Existing
student047@aiga.ac | Edith Webb | Existing
student048@aiga.ac | Ivy Miller | Existing
student049@aiga.ac | David Webb | Existing
student050@aiga.ac | Rory Wood | Existing
student051@aiga.ac | Theo Atkinson | Existing
student052@aiga.ac | Harry Doyle | Existing
student053@aiga.ac | Alfie Stone | Existing
student054@aiga.ac | Zelda Dodd | Existing
student055@aiga.ac | Percival Price | Existing
student056@aiga.ac | Hamish Dunn | Existing
student057@aiga.ac | Geoffrey Wood | Existing
student058@aiga.ac | Reuben Morgan | Existing
student059@aiga.ac | Penelope MacDonald | Existing
student060@aiga.ac | Lorna Dickens | Existing
student061@aiga.ac | Amelia Baker | Existing
student062@aiga.ac | Isabella Ellison | Existing
student063@aiga.ac | Imogen Davies | Existing
student064@aiga.ac | Margot Murphy | Existing
student065@aiga.ac | Lorna Munro | Existing
student066@aiga.ac | Isabella Campbell | Existing
student067@aiga.ac | Emily Walker | Existing
student068@aiga.ac | Daisy Henderson | Existing
